"SA51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"Per capita disposable personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"26000","Michigan",1415,1402,1569,1686,1742,1917,1841,1988,2011,2043,2011,2089,2142,2152,2275,2383,2606,2823,3005,3082,3319,3504,3634,3957,4292,4794,5132,5580,6126,6796,7472,8144,8839,9467,10008,10683,11844,12720,13488,13897,14853,15872,16593,16862,17862,18537,19746,20631,21417,22350,23381,24398,25903,26249,26903,27840,28937,29527,30291,31017,31940,31291,32040,33593,34679,34839,36149,37436
"27000","Minnesota",1328,1233,1332,1441,1463,1542,1577,1632,1663,1747,1831,1864,1937,2013,2086,2210,2308,2517,2693,2850,3083,3320,3614,3858,4114,4858,5109,5532,5888,6577,7294,7968,8787,9641,10337,10901,12446,13124,13877,14574,15168,16417,17202,17619,18683,18924,20055,20892,22035,22964,24679,25855,27504,28543,29558,31131,32729,33102,34584,36091,37606,36729,37892,39759,41571,41126,42350,43323
"28000","Mississippi",762,678,745,818,867,901,894,1014,1012,1024,1112,1195,1179,1274,1296,1421,1484,1604,1737,1894,2068,2276,2483,2738,3019,3406,3661,4000,4437,4891,5325,5948,6419,7114,7596,7887,8624,9053,9410,9935,10699,11554,12097,12690,13573,14246,15173,15803,16570,17277,18096,18555,19494,20625,21270,22139,23526,24805,25721,27112,28064,28116,28460,29571,30593,30890,31594,32424
"29000","Missouri",1264,1226,1324,1414,1488,1559,1581,1660,1738,1776,1899,1973,1986,2043,2139,2221,2357,2531,2670,2827,3086,3157,3462,3742,3995,4462,4727,5240,5656,6238,6860,7583,8180,9073,9653,10494,11617,12327,12948,13515,14306,15210,15795,16511,17511,18109,18925,19621,20481,21461,22277,23034,24446,25139,26100,27326,28699,29300,30771,31860,33278,33122,33364,34275,36012,36068,37202,37949
"30000","Montana",1503,1322,1559,1666,1673,1660,1637,1763,1795,1836,1942,1860,1925,1871,2216,2174,2239,2393,2552,2615,2742,2985,3345,3556,4029,4597,4915,5381,5650,5968,6927,7289,8036,9082,9576,10010,10532,10678,11335,11680,12006,13170,13870,14699,15320,16219,16262,16895,17445,18037,19300,19726,20888,21949,22824,24259,25664,26608,28160,29611,31149,30612,31667,33348,35157,34684,35504,36512
"31000","Nebraska",1432,1270,1483,1523,1645,1547,1652,1554,1570,1848,1933,1928,2006,1996,2165,2199,2279,2532,2725,2806,2949,3229,3476,3841,4139,4803,4916,5721,5920,6310,7308,7760,8241,9607,10172,10801,12095,12770,13236,13854,14745,15505,16510,17036,17985,18389,19352,20127,21681,21921,23270,24224,25438,26650,27644,29732,30794,31458,32251,34334,36429,35912,36431,39683,41111,41504,42564,42591
"32000","Nevada",1589,1684,1858,2029,2152,2256,2215,2335,2291,2359,2428,2583,2687,2724,2931,2907,2999,3087,3228,3395,3754,4023,4562,4889,5161,5618,5915,6586,7066,7757,8747,9460,10402,11275,11702,12245,13048,13759,14401,15018,16197,17232,17987,18819,20005,20624,21592,22454,23311,24149,24888,25877,27114,27810,28457,30063,32061,34329,35429,36437,36296,33901,33827,34345,35834,35154,36447,37532
"33000","New Hampshire",1208,1208,1270,1388,1448,1502,1586,1696,1764,1858,1870,1983,2031,2116,2209,2232,2398,2525,2717,2897,3127,3410,3532,3799,4035,4478,4818,5243,5757,6294,7014,7845,8880,9896,10892,11835,13173,14146,15134,16266,17554,18432,18473,19267,20087,20464,21659,22644,23408,24524,26235,27100,29466,30628,31813,32793,34934,35735,37827,38942,40198,40415,41467,43476,46059,45586,47452,49069
"34000","New Jersey",1510,1505,1668,1809,1890,1995,2011,2081,2205,2300,2206,2325,2406,2465,2602,2662,2851,2993,3201,3387,3646,3988,4321,4666,4965,5438,5883,6450,6915,7484,8271,9066,10164,11264,12140,13223,14620,15449,16387,17409,19234,20639,21600,21927,23439,23858,24405,25816,26892,28179,29430,30296,32820,33844,35608,36830,38517,39441,41978,43319,44813,44680,45326,46788,48421,47677,49785,51295
"35000","New Mexico",1064,1099,1165,1280,1346,1386,1422,1492,1568,1662,1781,1836,1822,1884,1922,1969,2071,2167,2287,2378,2579,2768,3060,3339,3639,3979,4347,4892,5254,5727,6358,7003,7700,8455,8998,9646,10416,11065,11388,11631,12189,12876,13616,14316,15029,15713,16299,17153,17616,18160,18998,19387,20953,22550,23425,24019,25153,26375,27511,28628,30251,29685,30491,31659,32685,32084,33734,34871
