CBSA	Metropolitan_Area_Name	yr	qtr	index_nsa	index_sa	Note
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1996	3	110.62	108.98	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1996	4	110.93	110.41	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1997	1	111.43	112.07	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1997	2	114.44	113.38	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1997	3	117.15	115.38	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1997	4	118.75	118.17	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1998	1	119.35	120.17	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1998	2	124.86	123.64	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1998	3	128.84	126.84	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1998	4	129.92	129.27	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1999	1	132.96	134.03	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1999	2	139.44	137.98	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1999	3	144.57	142.27	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	1999	4	148.14	147.4	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2000	1	150.95	152.31	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2000	2	159.78	158.03	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2000	3	167	164.29	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2000	4	171.47	170.63	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2001	1	175.02	176.71	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2001	2	184.34	182.2	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2001	3	191.42	188.3	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2001	4	190.36	189.52	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2002	1	193.47	195.29	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2002	2	205.01	202.63	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2002	3	211.7	208.23	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2002	4	214.61	213.78	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2003	1	215.18	217.08	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2003	2	223	220.45	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2003	3	229.27	225.52	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2003	4	231.44	230.64	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2004	1	234.86	236.69	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2004	2	244.99	242.37	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2004	3	250.39	246.28	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2004	4	252.32	251.45	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2005	1	256.99	258.82	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2005	2	264.89	262.25	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2005	3	270.12	265.67	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2005	4	266.75	265.72	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2006	1	262.93	264.76	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2006	2	267.35	264.93	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2006	3	260.69	256.26	"                                                                                               "
