,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
"STATE","Date","Home Value","Structure Cost","Land Value","Land Share","Home Price Index","Land Price Index"
"FL","1988Q3",93956,53509,40447,0.4304880161,0.639,0.478
"FL","1988Q4",95375,53927,41448,0.4345806847,0.649,0.493
"FL","1989Q1",96767,54428,42339,0.4375307041,0.658,0.507
"FL","1989Q2",98124,54898,43226,0.4405261077,0.668,0.520
"FL","1989Q3",99419,55377,44043,0.4429993098,0.677,0.533
"FL","1989Q4",100585,55869,44716,0.4445619981,0.684,0.543
"FL","1990Q1",101591,56324,45267,0.4455786658,0.691,0.552
"FL","1990Q2",102458,56807,45651,0.4455558248,0.697,0.560
"FL","1990Q3",102900,57260,45640,0.4435344711,0.700,0.562
"FL","1990Q4",103313,57655,45659,0.4419439089,0.703,0.565
"FL","1991Q1",103742,57972,45770,0.4411898482,0.706,0.568
"FL","1991Q2",104167,58237,45930,0.4409292798,0.709,0.573
"FL","1991Q3",104596,58478,46118,0.4409167584,0.712,0.578
"FL","1991Q4",105070,58728,46341,0.4410537921,0.715,0.583
"FL","1992Q1",105593,59170,46424,0.4396451148,0.719,0.588
"FL","1992Q2",106159,59551,46608,0.4390423334,0.722,0.592
"FL","1992Q3",106809,59996,46813,0.438283882,0.727,0.596
"FL","1992Q4",107535,60538,46997,0.4370385066,0.732,0.599
"FL","1993Q1",108340,60983,47357,0.4371162633,0.737,0.602
"FL","1993Q2",109231,61713,47518,0.4350218799,0.743,0.605
"FL","1993Q3",110174,62487,47687,0.4328361686,0.750,0.609
"FL","1993Q4",111151,63230,47920,0.4311297111,0.756,0.613
"FL","1994Q1",112131,63865,48266,0.430441973,0.763,0.620
"FL","1994Q2",113095,64401,48695,0.4305630267,0.770,0.628
"FL","1994Q3",114039,64887,49153,0.4310141588,0.776,0.636
"FL","1994Q4",114942,65356,49586,0.4313988101,0.782,0.644
"FL","1995Q1",115796,65975,49821,0.4302456143,0.788,0.652
"FL","1995Q2",116615,66505,50110,0.4297049836,0.794,0.659
"FL","1995Q3",117421,67055,50367,0.4289390111,0.799,0.665
"FL","1995Q4",118204,67644,50560,0.42773674,0.804,0.670
"FL","1996Q1",118984,68190,50794,0.4268991683,0.810,0.675
"FL","1996Q2",119771,68828,50943,0.4253354588,0.815,0.679
"FL","1996Q3",120565,69445,51120,0.4240031208,0.820,0.684
"FL","1996Q4",121389,69986,51402,0.4234518888,0.826,0.691
"FL","1997Q1",122287,70446,51841,0.4239300909,0.832,0.700
"FL","1997Q2",123274,70814,52460,0.425554359,0.839,0.712
"FL","1997Q3",124399,71176,53223,0.427843862,0.846,0.726
"FL","1997Q4",125695,71594,54100,0.4304117011,0.855,0.741
"FL","1998Q1",127144,72170,54974,0.4323781154,0.865,0.757
"FL","1998Q2",128712,72756,55956,0.4347352891,0.876,0.774
"FL","1998Q3",130391,73345,57047,0.4375027931,0.887,0.792
"FL","1998Q4",132196,73882,58314,0.4411190547,0.900,0.813
"FL","1999Q1",134153,74320,59833,0.4460050805,0.913,0.837
"FL","1999Q2",136281,74702,61579,0.4518541698,0.927,0.865
"FL","1999Q3",138589,75067,63522,0.45834668,0.943,0.895
"FL","1999Q4",141119,75461,65658,0.4652650783,0.960,0.927
"FL","2000Q1",143901,75797,68104,0.4732681002,0.979,0.962
"FL","2000Q2",146960,76431,70529,0.479920521,1.000,1.000
"FL","2000Q3",150330,77206,73124,0.4864239171,1.023,1.041
"FL","2000Q4",154022,78122,75900,0.4927843804,1.048,1.086
"FL","2001Q1",158023,79376,78647,0.4976935237,1.075,1.135
"FL","2001Q2",162301,80376,81925,0.5047699247,1.104,1.188
"FL","2001Q3",166816,81316,85501,0.5125440256,1.135,1.246
"FL","2001Q4",171525,82136,89389,0.5211403923,1.167,1.307
"FL","2002Q1",176424,82682,93741,0.5313429163,1.200,1.373
"FL","2002Q2",181537,83339,98198,0.5409257169,1.235,1.443
"FL","2002Q3",186893,84045,102848,0.5503065348,1.272,1.517
"FL","2002Q4",192567,84884,107684,0.5591991855,1.310,1.594
"FL","2003Q1",198669,86098,112571,0.5666256086,1.352,1.672
"FL","2003Q2",205376,87609,117767,0.5734228485,1.397,1.756
"FL","2003Q3",212971,89510,123461,0.5797076188,1.449,1.848
"FL","2003Q4",221775,91892,129882,0.5856505368,1.509,1.951
"FL","2004Q1",232057,94630,137427,0.5922125433,1.579,2.072
"FL","2004Q2",244028,97664,146364,0.5997827706,1.661,2.215
"FL","2004Q3",257717,100738,156979,0.6091140044,1.754,2.385
"FL","2004Q4",272920,103581,169339,0.6204715668,1.857,2.582
"FL","2005Q1",289170,106210,182961,0.6327081728,1.968,2.802
"FL","2005Q2",305611,108499,197111,0.6449752051,2.080,3.029
"FL","2005Q3",321061,110917,210145,0.6545309618,2.185,3.240
"FL","2005Q4",334274,113810,220464,0.6595313704,2.275,3.409
"FL","2006Q1",344366,117165,227201,0.6597655046,2.343,3.521
"FL","2006Q2",350900,120921,229978,0.6553961244,2.388,3.573
"FL","2006Q3",353792,124471,229321,0.6481803518,2.407,3.572
"FL","2006Q4",353036,127271,225765,0.6394959542,2.402,3.525
"FL","2007Q1",348475,129102,219373,0.6295234446,2.371,3.434
"FL","2007Q2",339965,130112,209852,0.6172766137,2.313,3.291
"FL","2007Q3",327626,130982,196644,0.6002082564,2.229,3.090
"FL","2007Q4",312170,132319,179850,0.5761302607,2.124,2.830
"FL","2008Q1",294566,134583,159983,0.5431133121,2.004,2.520
"FL","2008Q2",276399,137396,139003,0.5029074045,1.881,2.192
"FL","2008Q3",259357,140199,119158,0.4594369287,1.765,1.881
"FL","2008Q4",244751,142441,102310,0.4180161916,1.665,1.616
"FL","2009Q1",233278,143421,89858,0.3851955158,1.587,1.419
"FL","2009Q2",224871,143571,81300,0.3615396537,1.530,1.284
"FL","2009Q3",218933,143137,75796,0.3462053667,1.490,1.198
"FL","2009Q4",214619,142377,72242,0.3366057893,1.460,1.141
"FL","2010Q1",211075,142104,68971,0.3267588232,1.436,1.088
"FL","2010Q2",207783,142313,65470,0.3150885407,1.414,1.033
"FL","2010Q3",204621,143343,61278,0.2994697644,1.392,0.967
"FL","2010Q4",201808,145621,56187,0.2784199931,1.373,0.887
"FL","2011Q1",199715,148362,51353,0.2571337544,1.359,0.812
"FL","2011Q2",198998,151241,47758,0.239990078,1.354,0.756
"FL","2011Q3",199870,152823,47047,0.2353885157,1.360,0.746
"FL","2011Q4",202217,152873,49345,0.2440177694,1.376,0.783
"FL","2012Q1",205852,152927,52925,0.2571001038,1.401,0.841
"FL","2012Q2",210379,152987,57391,0.272800819,1.432,0.913
"FL","2012Q3",215338,153053,62286,0.2892457449,1.465,0.992
"FL","2012Q4",220473,153124,67349,0.3054742733,1.500,1.073
"FL","2013Q1",225677,153201,72476,0.3211495131,1.536,1.156
"GA","1975Q1",28374,24534,3840,0.1353392607,0.193,0.039
"GA","1975Q2",28543,24718,3825,0.1340084903,0.194,0.039
"GA","1975Q3",28763,24842,3921,0.1363216653,0.196,0.040
"GA","1975Q4",29033,24991,4041,0.1392025329,0.197,0.042
"GA","1976Q1",29395,25291,4104,0.1396111809,0.200,0.043
"GA","1976Q2",29889,25670,4219,0.1411505889,0.203,0.044
"GA","1976Q3",30462,26115,4348,0.1427225984,0.207,0.046
"GA","1976Q4",30982,26602,4380,0.1413580503,0.211,0.046
"GA","1977Q1",31454,27083,4371,0.1389508422,0.214,0.046
"GA","1977Q2",31961,27577,4384,0.1371548632,0.217,0.046
"GA","1977Q3",32573,28073,4500,0.1381566587,0.221,0.048
"GA","1977Q4",33285,28560,4725,0.141949714,0.226,0.050
"GA","1978Q1",34093,29066,5027,0.1474535159,0.232,0.054
"GA","1978Q2",34932,29591,5341,0.1528896566,0.237,0.058
"GA","1978Q3",35856,30179,5677,0.1583286785,0.244,0.062
"GA","1978Q4",36863,30871,5992,0.1625603774,0.251,0.065
"GA","1979Q1",37980,31693,6287,0.1655349689,0.258,0.069
"GA","1979Q2",39206,32611,6594,0.1682004131,0.267,0.073
"GA","1979Q3",40509,33584,6925,0.1709593097,0.275,0.077
"GA","1979Q4",41867,34565,7302,0.1744157767,0.285,0.081
"GA","1980Q1",43209,35438,7771,0.1798381503,0.294,0.086
"GA","1980Q2",44474,36252,8222,0.1848802617,0.302,0.092
"GA","1980Q3",45688,36969,8719,0.1908373426,0.311,0.098
"GA","1980Q4",46886,37562,9323,0.198853666,0.319,0.105
"GA","1981Q1",48092,38125,9967,0.2072483821,0.327,0.113
"GA","1981Q2",49262,38649,10613,0.2154328415,0.335,0.121
"GA","1981Q3",50402,39273,11130,0.2208164908,0.343,0.127
"GA","1981Q4",51520,40124,11396,0.2211932462,0.350,0.130
"GA","1982Q1",52561,41201,11360,0.2161325603,0.357,0.130
"GA","1982Q2",53525,42422,11103,0.2074289278,0.364,0.128
"GA","1982Q3",54428,43573,10854,0.1994277798,0.370,0.125
"GA","1982Q4",55345,44441,10904,0.1970132455,0.376,0.126
"GA","1983Q1",56299,44803,11496,0.2041921265,0.383,0.133
"GA","1983Q2",57309,44871,12437,0.2170221553,0.390,0.144
"GA","1983Q3",58388,44785,13603,0.2329774525,0.397,0.158
"GA","1983Q4",59519,44710,14809,0.2488036689,0.405,0.173
"GA","1984Q1",60713,44909,15805,0.2603149729,0.413,0.185
"GA","1984Q2",61926,45215,16711,0.2698531179,0.421,0.197
"GA","1984Q3",63156,45607,17549,0.277874328,0.429,0.208
"GA","1984Q4",64469,46041,18428,0.2858405994,0.438,0.219
"GA","1985Q1",65850,46451,19399,0.2945944235,0.448,0.232
"GA","1985Q2",67313,46844,20469,0.3040866932,0.458,0.246
"GA","1985Q3",68934,47228,21706,0.3148830544,0.469,0.262
"GA","1985Q4",70633,47598,23034,0.3261145133,0.480,0.280
"GA","1986Q1",72344,47986,24358,0.3366938791,0.492,0.297
"GA","1986Q2",74033,48376,25657,0.3465678478,0.503,0.314
"GA","1986Q3",75694,48802,26892,0.3552698839,0.515,0.331
"GA","1986Q4",77326,49296,28030,0.3624896878,0.526,0.347
"GA","1987Q1",78911,49845,29066,0.3683390662,0.536,0.361
"GA","1987Q2",80428,50465,29963,0.3725436588,0.547,0.373
"GA","1987Q3",81868,51095,30773,0.3758877401,0.557,0.385
"GA","1987Q4",83234,51686,31548,0.37902537,0.566,0.396
"GA","1988Q1",84536,52196,32340,0.3825581416,0.575,0.408
"GA","1988Q2",85755,52630,33125,0.386278837,0.583,0.420
"GA","1988Q3",86873,53025,33848,0.3896283434,0.591,0.431
"GA","1988Q4",87928,53409,34520,0.3925874416,0.598,0.441
"GA","1989Q1",88968,53861,35107,0.3946031309,0.605,0.451
"GA","1989Q2",89998,54285,35713,0.3968187119,0.612,0.460
"GA","1989Q3",90991,54711,36280,0.3987236127,0.619,0.469
"GA","1989Q4",91879,55137,36741,0.3998872915,0.625,0.476
"GA","1990Q1",92629,55477,37152,0.4010853339,0.630,0.481
"GA","1990Q2",93290,55925,37365,0.40052784,0.634,0.485
"GA","1990Q3",93462,56394,37069,0.3966161494,0.635,0.483
"GA","1990Q4",93667,56880,36788,0.3927474548,0.637,0.481
"GA","1991Q1",93952,57365,36587,0.3894243848,0.639,0.480
"GA","1991Q2",94310,57827,36483,0.3868411974,0.641,0.480
"GA","1991Q3",94760,58258,36502,0.3852020665,0.644,0.483
"GA","1991Q4",95306,58639,36667,0.3847319906,0.648,0.487
"GA","1992Q1",95916,59113,36804,0.3837049618,0.652,0.493
"GA","1992Q2",96564,59441,37122,0.3844340108,0.656,0.499
"GA","1992Q3",97282,59799,37483,0.3853011155,0.661,0.505
"GA","1992Q4",98028,60256,37772,0.3853212491,0.666,0.510
"GA","1993Q1",98812,60721,38090,0.3854860298,0.672,0.514
"GA","1993Q2",99642,61471,38171,0.3830845078,0.677,0.516
"GA","1993Q3",100529,62297,38232,0.3803100972,0.683,0.518
"GA","1993Q4",101487,63124,38363,0.3780097028,0.690,0.521
"GA","1994Q1",102525,63847,38678,0.3772578714,0.697,0.528
"GA","1994Q2",103636,64483,39153,0.3777928813,0.705,0.536
"GA","1994Q3",104804,65055,39748,0.3792633224,0.712,0.547
"GA","1994Q4",106016,65571,40445,0.3814993885,0.721,0.559
"GA","1995Q1",107280,66194,41086,0.382976563,0.729,0.572
"GA","1995Q2",108603,66727,41876,0.3855879358,0.738,0.586
"GA","1995Q3",109971,67317,42654,0.3878628419,0.748,0.600
"GA","1995Q4",111355,68033,43321,0.3890387924,0.757,0.612
"GA","1996Q1",112724,68836,43888,0.3893392065,0.766,0.622
"GA","1996Q2",114059,69823,44236,0.3878327049,0.775,0.629
"GA","1996Q3",115373,70840,44533,0.385987872,0.784,0.636
"GA","1996Q4",116707,71795,44912,0.3848286013,0.793,0.645
"GA","1997Q1",118116,72580,45536,0.3855204732,0.803,0.657
"GA","1997Q2",119618,73239,46379,0.3877288057,0.813,0.673
"GA","1997Q3",121253,73827,47426,0.3911342774,0.824,0.691
"GA","1997Q4",123045,74389,48656,0.3954331548,0.836,0.713
"GA","1998Q1",125004,75053,49951,0.3995928234,0.850,0.736
"GA","1998Q2",127127,75703,51424,0.4045076361,0.864,0.762
"GA","1998Q3",129398,76388,53011,0.4096702354,0.880,0.789
"GA","1998Q4",131800,77124,54677,0.4148452361,0.896,0.818
"GA","1999Q1",134304,77922,56382,0.4198086459,0.913,0.847
"GA","1999Q2",136863,78736,58127,0.4247115198,0.930,0.877
"GA","1999Q3",139452,79552,59901,0.4295418412,0.948,0.908
"GA","1999Q4",142030,80339,61691,0.4343536028,0.966,0.939
"GA","2000Q1",144581,80930,63652,0.4402476573,0.983,0.969
"GA","2000Q2",147099,81711,65388,0.4445182493,1.000,1.000
"GA","2000Q3",149553,82570,66984,0.4478910477,1.017,1.029
"GA","2000Q4",151943,83543,68400,0.4501676066,1.033,1.057
"GA","2001Q1",154251,84908,69343,0.449545901,1.049,1.082
"GA","2001Q2",156464,86045,70419,0.4500667304,1.064,1.105
"GA","2001Q3",158578,87163,71414,0.450342435,1.078,1.126
"GA","2001Q4",160618,88227,72391,0.4507005188,1.092,1.146
"GA","2002Q1",162599,88983,73616,0.4527456492,1.105,1.167
"GA","2002Q2",164515,89815,74700,0.4540604801,1.118,1.188
"GA","2002Q3",166419,90537,75882,0.4559701628,1.131,1.211
"GA","2002Q4",168285,91107,77178,0.4586149278,1.144,1.236
"GA","2003Q1",170063,91771,78292,0.4603695541,1.156,1.259
"GA","2003Q2",171749,92479,79270,0.4615433812,1.168,1.279
"GA","2003Q3",173419,93530,79889,0.4606682877,1.179,1.294
"GA","2003Q4",175151,95199,79952,0.4564726909,1.191,1.299
"GA","2004Q1",177051,97551,79500,0.4490206464,1.204,1.296
"GA","2004Q2",179185,100448,78737,0.4394160924,1.218,1.288
"GA","2004Q3",181595,103501,78094,0.4300454797,1.235,1.282
"GA","2004Q4",184294,106334,77960,0.4230195331,1.253,1.284
"GA","2005Q1",187270,108526,78744,0.4204844418,1.273,1.301
"GA","2005Q2",190468,110428,80041,0.4202304943,1.295,1.327
"GA","2005Q3",193787,112253,81533,0.4207375109,1.317,1.357
"GA","2005Q4",197081,114255,82826,0.4202656922,1.340,1.385
"GA","2006Q1",200164,116615,83549,0.4174021707,1.361,1.403
"GA","2006Q2",202933,119067,83866,0.4132702348,1.380,1.415
"GA","2006Q3",205323,121374,83950,0.4088654292,1.396,1.422
"GA","2006Q4",207229,123256,83973,0.4052200549,1.409,1.429
"GA","2007Q1",208381,124762,83619,0.4012801906,1.417,1.431
"GA","2007Q2",208553,125874,82679,0.3964404576,1.418,1.420
"GA","2007Q3",207604,127097,80507,0.3877911892,1.411,1.388
"GA","2007Q4",205649,128860,76789,0.3733999235,1.398,1.328
"GA","2008Q1",202820,131323,71497,0.352513367,1.379,1.240
"GA","2008Q2",199375,134224,65151,0.3267768098,1.355,1.133
"GA","2008Q3",195667,137010,58657,0.2997813765,1.330,1.022
"GA","2008Q4",192082,139136,52946,0.2756416046,1.306,0.924
"GA","2009Q1",188997,139782,49215,0.2604022499,1.285,0.860
"GA","2009Q2",186206,139381,46825,0.2514711748,1.266,0.820
"GA","2009Q3",183559,138048,45511,0.2479384229,1.248,0.798
"GA","2009Q4",180621,135914,44707,0.2475185212,1.228,0.784
"GA","2010Q1",177249,134486,42763,0.2412580588,1.205,0.750
"GA","2010Q2",173545,133724,39822,0.2294595371,1.180,0.699
"GA","2010Q3",169522,134831,34691,0.2046419755,1.152,0.610
"GA","2010Q4",165723,139061,26661,0.1608798551,1.127,0.470
"GA","2011Q1",162645,144249,18397,0.1131090189,1.106,0.325
"GA","2011Q2",160591,149683,10908,0.0679219836,1.092,0.193
"GA","2011Q3",159854,151266,8588,0.0537268443,1.087,0.152
"GA","2011Q4",160439,151278,9161,0.0570973412,1.091,0.162
"GA","2012Q1",162245,151295,10949,0.0674859693,1.103,0.194
"GA","2012Q2",165223,151322,13902,0.0841386835,1.123,0.247
"GA","2012Q3",169038,151359,17680,0.104590755,1.149,0.314
"GA","2012Q4",173431,151408,22024,0.1269873408,1.179,0.392
"GA","2013Q1",178114,151469,26645,0.1495965372,1.211,0.475
"HI","1975Q1",83813,44668,39145,0.4670490053,0.254,0.196
"HI","1975Q2",83401,44975,38426,0.460741001,0.253,0.193
"HI","1975Q3",83164,45323,37841,0.455017711,0.252,0.191
"HI","1975Q4",83037,45971,37067,0.4463863487,0.252,0.188
"HI","1976Q1",82911,47299,35612,0.4295177923,0.251,0.183
"HI","1976Q2",82931,49005,33927,0.4090935452,0.251,0.175
"HI","1976Q3",83172,51027,32146,0.3864960567,0.252,0.167
"HI","1976Q4",83802,53253,30549,0.3645332993,0.254,0.160
"HI","1977Q1",84867,55378,29489,0.3474695535,0.257,0.155
"HI","1977Q2",86415,57461,28954,0.3350588723,0.262,0.153
"HI","1977Q3",88308,59396,28912,0.3274033395,0.268,0.154
"HI","1977Q4",90578,61066,29512,0.3258221542,0.275,0.158
"HI","1978Q1",93311,62428,30883,0.3309671595,0.283,0.166
"HI","1978Q2",96706,63612,33094,0.3422138447,0.293,0.179
"HI","1978Q3",101023,64777,36246,0.3587921277,0.306,0.197
"HI","1978Q4",106400,66105,40296,0.3787180594,0.322,0.220
"HI","1979Q1",112628,67810,44819,0.3979347059,0.341,0.247
"HI","1979Q2",119661,69672,49988,0.4177501115,0.363,0.277
"HI","1979Q3",126863,71604,55259,0.4355826242,0.385,0.307
"HI","1979Q4",133447,73468,59979,0.4494616128,0.404,0.335
"HI","1980Q1",138694,75074,63621,0.4587117944,0.420,0.357
"HI","1980Q2",141915,76559,65356,0.4605318691,0.430,0.368
"HI","1980Q3",142892,77955,64937,0.4544472805,0.433,0.367
"HI","1980Q4",141479,79318,62161,0.439362952,0.429,0.353
"HI","1981Q1",137669,80831,56838,0.4128614379,0.417,0.324
"HI","1981Q2",132516,82462,50054,0.3777216136,0.402,0.286
"HI","1981Q3",127724,84285,43439,0.3400984251,0.387,0.249
"HI","1981Q4",125564,86395,39169,0.3119445118,0.381,0.226
"HI","1982Q1",127865,88706,39159,0.3062514687,0.388,0.226
"HI","1982Q2",130889,91155,39734,0.303573433,0.397,0.230
"HI","1982Q3",133584,93506,40078,0.3000196057,0.405,0.233
"HI","1982Q4",136248,95520,40729,0.2989284483,0.413,0.238
"HI","1983Q1",139754,96930,42824,0.3064246826,0.424,0.250
"HI","1983Q2",143332,98025,45307,0.3160977989,0.434,0.265
"HI","1983Q3",146316,98944,47372,0.3237647679,0.443,0.278
"HI","1983Q4",148354,99876,48478,0.3267724316,0.450,0.286
"HI","1984Q1",149864,101127,48737,0.3252084392,0.454,0.289
"HI","1984Q2",150955,102427,48528,0.3214734655,0.458,0.289
"HI","1984Q3",151664,103758,47906,0.3158674674,0.460,0.286
"HI","1984Q4",152394,105049,47346,0.3106798313,0.462,0.284
"HI","1985Q1",153423,106145,47279,0.3081577014,0.465,0.284
"HI","1985Q2",154602,107145,47457,0.3069641012,0.469,0.286
"HI","1985Q3",155982,108021,47961,0.3074788644,0.473,0.290
"HI","1985Q4",157409,108765,48644,0.3090297036,0.477,0.295
"HI","1986Q1",158858,109429,49429,0.3111504019,0.481,0.301
"HI","1986Q2",160382,110016,50366,0.3140365365,0.486,0.308
"HI","1986Q3",162226,110593,51633,0.318276364,0.492,0.316
"HI","1986Q4",164584,111227,53356,0.3241895834,0.499,0.328
"HI","1987Q1",167542,111965,55577,0.3317189553,0.508,0.343
"HI","1987Q2",171146,112760,58385,0.3411441656,0.519,0.361
"HI","1987Q3",175579,113550,62029,0.3532813723,0.532,0.385
"HI","1987Q4",181159,114271,66889,0.3692250677,0.549,0.417
"HI","1988Q1",188115,114908,73206,0.389157724,0.570,0.457
"HI","1988Q2",196307,115563,80745,0.4113165792,0.595,0.506
"HI","1988Q3",205656,116331,89326,0.4343448838,0.623,0.562
"HI","1988Q4",216215,117331,98884,0.4573424889,0.655,0.624
"HI","1989Q1",227717,118599,109118,0.4791806297,0.690,0.692
"HI","1989Q2",239891,119786,120105,0.5006658089,0.727,0.764
"HI","1989Q3",252788,120730,132059,0.5224083116,0.766,0.842
"HI","1989Q4",266146,121152,144994,0.5447924441,0.807,0.927
"HI","1990Q1",279647,121065,158583,0.5670815788,0.848,1.015
"HI","1990Q2",292405,121224,171181,0.5854240304,0.886,1.098
"HI","1990Q3",305210,122093,183117,0.5999697137,0.925,1.178
"HI","1990Q4",315620,124384,191236,0.6059049757,0.957,1.234
"HI","1991Q1",323213,128447,194766,0.6025939904,0.980,1.262
"HI","1991Q2",328262,133584,194678,0.5930564897,0.995,1.265
"HI","1991Q3",331814,138955,192859,0.5812270768,1.006,1.258
"HI","1991Q4",334520,143610,190910,0.570699709,1.014,1.250
"HI","1992Q1",336913,146923,189990,0.5639136744,1.021,1.252
"HI","1992Q2",338854,148224,190630,0.5625717887,1.027,1.260
"HI","1992Q3",340812,148499,192313,0.5642781785,1.033,1.273
"HI","1992Q4",342371,148194,194177,0.5671529361,1.038,1.286
"HI","1993Q1",343257,147499,195758,0.5702948032,1.040,1.291
"HI","1993Q2",343468,147855,195613,0.5695242133,1.041,1.290
"HI","1993Q3",343009,148659,194349,0.5666015847,1.040,1.282
"HI","1993Q4",342563,150055,192509,0.5619655667,1.038,1.271
"HI","1994Q1",342231,152079,190152,0.5556244089,1.037,1.258
"HI","1994Q2",342049,154416,187633,0.5485558383,1.037,1.243
"HI","1994Q3",341576,156875,184701,0.5407314525,1.035,1.226
"HI","1994Q4",340534,159169,181365,0.5325903411,1.032,1.207
"HI","1995Q1",338856,161356,177501,0.5238226981,1.027,1.186
"HI","1995Q2",336335,162907,173428,0.515640777,1.019,1.162
"HI","1995Q3",333411,164365,169046,0.5070189598,1.011,1.134
"HI","1995Q4",329936,165977,163959,0.4969423082,1.000,1.102
"HI","1996Q1",325813,167602,158211,0.4855888347,0.988,1.062
"HI","1996Q2",321305,169644,151661,0.4720148062,0.974,1.020
"HI","1996Q3",316047,171557,144491,0.4571801119,0.958,0.973
"HI","1996Q4",310475,173026,137449,0.4427066458,0.941,0.927
"HI","1997Q1",305107,173898,131209,0.4300426277,0.925,0.887
"HI","1997Q2",301093,174235,126859,0.4213267567,0.913,0.859
"HI","1997Q3",298779,174409,124370,0.416262423,0.906,0.843
"HI","1997Q4",297937,174731,123206,0.413530452,0.903,0.837
"HI","1998Q1",298339,175686,122653,0.4111189274,0.904,0.836
"HI","1998Q2",299234,176713,122521,0.4094483949,0.907,0.836
"HI","1998Q3",300252,177770,122482,0.4079311805,0.910,0.837
"HI","1998Q4",301664,178670,122994,0.4077179943,0.914,0.840
"HI","1999Q1",303670,179127,124543,0.4101260542,0.920,0.850
"HI","1999Q2",306422,179582,126840,0.4139378902,0.929,0.866
"HI","1999Q3",310610,180064,130546,0.4202897787,0.941,0.891
"HI","1999Q4",316249,180731,135518,0.428516965,0.959,0.925
"HI","2000Q1",322888,181517,141371,0.4378337976,0.979,0.962
"HI","2000Q2",329924,183085,146839,0.4450697173,1.000,1.000
"HI","2000Q3",337565,185109,152457,0.4516362251,1.023,1.040
"HI","2000Q4",345951,187582,158370,0.4577800217,1.049,1.083
"HI","2001Q1",354837,190890,163947,0.4620349029,1.076,1.129
"HI","2001Q2",363894,193721,170172,0.4676434297,1.103,1.175
"HI","2001Q3",373025,196471,176554,0.4733032019,1.131,1.222
"HI","2001Q4",382549,198982,183567,0.4798525769,1.160,1.272
"HI","2002Q1",393014,200481,192534,0.4898897059,1.191,1.334
"HI","2002Q2",404938,201894,203044,0.5014191998,1.227,1.409
"HI","2002Q3",418335,202735,215600,0.515376663,1.268,1.499
"HI","2002Q4",433633,202851,230782,0.5322062458,1.314,1.608
"HI","2003Q1",451582,203180,248401,0.5500696407,1.369,1.735
"HI","2003Q2",472927,203345,269582,0.5700283727,1.433,1.887
"HI","2003Q3",498529,204506,294024,0.5897820198,1.511,2.063
"HI","2003Q4",528062,207640,320422,0.606789365,1.601,2.252
"HI","2004Q1",560837,213135,347702,0.6199693643,1.700,2.448
"HI","2004Q2",596618,220528,376090,0.6303703403,1.808,2.652
"HI","2004Q3",634255,228587,405668,0.6395979801,1.922,2.865
"HI","2004Q4",672683,236140,436543,0.6489585748,2.039,3.089
"HI","2005Q1",711316,241850,469466,0.6599959596,2.156,3.328
"HI","2005Q2",748482,246201,502281,0.6710658659,2.269,3.566
"HI","2005Q3",781553,249843,531710,0.6803248724,2.369,3.781
"HI","2005Q4",808622,253298,555324,0.6867536648,2.451,3.953
"HI","2006Q1",829483,257074,572408,0.6900784928,2.514,4.080
"HI","2006Q2",843885,260851,583033,0.6908920408,2.558,4.160
"HI","2006Q3",853580,264233,589347,0.6904417226,2.587,4.209
"HI","2006Q4",859959,266845,593114,0.6896998452,2.607,4.239
"HI","2007Q1",862885,268468,594417,0.688871597,2.615,4.249
"HI","2007Q2",862493,270145,592348,0.6867855344,2.614,4.238
"HI","2007Q3",859326,272256,587070,0.6831751074,2.605,4.205
"HI","2007Q4",853805,275523,578282,0.6772997472,2.588,4.146
"HI","2008Q1",846814,280746,566068,0.6684679644,2.567,4.068
"HI","2008Q2",838389,286211,552178,0.6586183652,2.541,3.972
"HI","2008Q3",827959,291506,536453,0.64792184,2.510,3.862
"HI","2008Q4",815980,295704,520277,0.6376092618,2.473,3.748
"HI","2009Q1",801838,297133,504705,0.6294350983,2.430,3.636
"HI","2009Q2",786639,296743,489897,0.6227715354,2.384,3.530
"HI","2009Q3",773096,294470,478625,0.6191021934,2.343,3.449
"HI","2009Q4",760826,290368,470458,0.6183514552,2.306,3.389
"HI","2010Q1",749875,286890,462985,0.6174166098,2.273,3.331
"HI","2010Q2",739920,285130,454790,0.6146478168,2.243,3.272
"HI","2010Q3",730873,287280,443593,0.6069357143,2.215,3.192
"HI","2010Q4",723503,296072,427432,0.5907804405,2.193,3.078
"HI","2011Q1",718511,307446,411066,0.5721073269,2.178,2.965
"HI","2011Q2",718985,319166,399819,0.5560883181,2.179,2.887
"HI","2011Q3",724229,322897,401331,0.5541497907,2.195,2.900
"HI","2011Q4",733954,323301,410653,0.5595076288,2.225,2.971
"HI","2012Q1",749132,323720,425412,0.5678735737,2.271,3.081
"HI","2012Q2",768971,324156,444814,0.5784541779,2.331,3.224
"HI","2012Q3",792139,324614,467525,0.5902059861,2.401,3.392
"HI","2012Q4",817955,325093,492862,0.602553538,2.479,3.579
"HI","2013Q1",844496,325595,518901,0.6144503187,2.560,3.772
"ID","1975Q1",30834,27388,3446,0.1117551752,0.227,0.000
"ID","1975Q2",30628,27573,3055,0.0997506152,0.226,0.000
"ID","1975Q3",30622,27739,2883,0.0941590952,0.226,0.000
"ID","1975Q4",30916,27954,2962,0.0957992422,0.228,0.000
"ID","1976Q1",31511,28339,3172,0.1006545463,0.232,0.000
